# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-60.8400; 0.0000; -17.3184; 0.279465; 156.4273
-60.6600; 0.0000; -17.3090; 0.278204; 156.0319
-60.4800; 0.0000; -17.3009; 0.276917; 155.6334
-60.3000; 0.0000; -17.2941; 0.275606; 155.2317
-60.1200; 0.0000; -17.2887; 0.274269; 154.8269
-59.9400; 0.0000; -17.2846; 0.272907; 154.4188
-59.7600; 0.0000; -17.2819; 0.271519; 154.0074
-59.5800; 0.0000; -17.2806; 0.270105; 153.5927
-59.4000; 0.0000; -17.2807; 0.268666; 153.1745
-59.2200; 0.0000; -17.2822; 0.267201; 152.7528
-59.0400; 0.0000; -17.2851; 0.265711; 152.3276
-58.8600; 0.0000; -17.2895; 0.264194; 151.8987
-58.6800; 0.0000; -17.2954; 0.262652; 151.4662
-58.5000; 0.0000; -17.3027; 0.261084; 151.0298
-58.3200; 0.0000; -17.3115; 0.259491; 150.5896
-58.1400; 0.0000; -17.3218; 0.257871; 150.1455
-57.9600; 0.0000; -17.3336; 0.256226; 149.6972
-57.7800; 0.0000; -17.3470; 0.254555; 149.2449
-57.6000; 0.0000; -17.3620; 0.252859; 148.7883
-57.4200; 0.0000; -17.3785; 0.251137; 148.3275
-57.2400; 0.0000; -17.3966; 0.249389; 147.8621
-57.0600; 0.0000; -17.4163; 0.247616; 147.3922
-56.8800; 0.0000; -17.4376; 0.245818; 146.9177
-56.7000; 0.0000; -17.4606; 0.243995; 146.4384
-56.5200; 0.0000; -17.4852; 0.242147; 145.9541
-56.3400; 0.0000; -17.5116; 0.240274; 145.4648
-56.1600; 0.0000; -17.5396; 0.238376; 144.9703
-55.9800; 0.0000; -17.5694; 0.236454; 144.4705
-55.8000; 0.0000; -17.6009; 0.234507; 143.9652
-55.6200; 0.0000; -17.6341; 0.232536; 143.4543
-55.4400; 0.0000; -17.6692; 0.230542; 142.9375
-55.2600; 0.0000; -17.7061; 0.228524; 142.4148
-55.0800; 0.0000; -17.7448; 0.226483; 141.8858
-54.9000; 0.0000; -17.7854; 0.224419; 141.3506
-54.7200; 0.0000; -17.8278; 0.222332; 140.8087
-54.5400; 0.0000; -17.8722; 0.220223; 140.2601
-54.3600; 0.0000; -17.9185; 0.218092; 139.7044
-54.1800; 0.0000; -17.9667; 0.215939; 139.1415
-54.0000; 0.0000; -18.0169; 0.213765; 138.5712
-53.8200; 0.0000; -18.0691; 0.211571; 137.9931
-53.6400; 0.0000; -18.1233; 0.209356; 137.4069
-53.4600; 0.0000; -18.1795; 0.207122; 136.8125
-53.2800; 0.0000; -18.2379; 0.204868; 136.2095
-53.1000; 0.0000; -18.2983; 0.202595; 135.5976
-52.9200; 0.0000; -18.3609; 0.200305; 134.9764
-52.7400; 0.0000; -18.4255; 0.197996; 134.3456
-52.5600; 0.0000; -18.4924; 0.195671; 133.7049
-52.3800; 0.0000; -18.5614; 0.193329; 133.0539
-52.2000; 0.0000; -18.6327; 0.190972; 132.3920
-52.0200; 0.0000; -18.7062; 0.188600; 131.7191
-51.8400; 0.0000; -18.7820; 0.186214; 131.0345
-51.6600; 0.0000; -18.8600; 0.183814; 130.3378
-51.4800; 0.0000; -18.9404; 0.181402; 129.6285
-51.3000; 0.0000; -19.0230; 0.178978; 128.9061
-51.1200; 0.0000; -19.1081; 0.176543; 128.1701
-50.9400; 0.0000; -19.1954; 0.174099; 127.4198
-50.7600; 0.0000; -19.2852; 0.171645; 126.6547
-50.5800; 0.0000; -19.3773; 0.169184; 125.8741
-50.4000; 0.0000; -19.4718; 0.166717; 125.0773
-50.2200; 0.0000; -19.5688; 0.164244; 124.2636
-50.0400; 0.0000; -19.6681; 0.161766; 123.4324
-49.8600; 0.0000; -19.7699; 0.159286; 122.5827
-49.6800; 0.0000; -19.8741; 0.156803; 121.7138
-49.5000; 0.0000; -19.9806; 0.154321; 120.8247
-49.3200; 0.0000; -20.0896; 0.151839; 119.9147
-49.1400; 0.0000; -20.2009; 0.149360; 118.9827
-48.9600; 0.0000; -20.3146; 0.146886; 118.0277
-48.7800; 0.0000; -20.4306; 0.144417; 117.0487
-48.6000; 0.0000; -20.5488; 0.141955; 116.0445
-48.4200; 0.0000; -20.6693; 0.139504; 115.0142
-48.2400; 0.0000; -20.7919; 0.137063; 113.9563
-48.0600; 0.0000; -20.9167; 0.134636; 112.8697
-47.8800; 0.0000; -21.0434; 0.132225; 111.7532
-47.7000; 0.0000; -21.1720; 0.129831; 110.6053
-47.5200; 0.0000; -21.3024; 0.127457; 109.4248
-47.3400; 0.0000; -21.4344; 0.125106; 108.2101
-47.1600; 0.0000; -21.5679; 0.122779; 106.9599
-46.9800; 0.0000; -21.7028; 0.120480; 105.6726
-46.8000; 0.0000; -21.8387; 0.118212; 104.3468
-46.6200; 0.0000; -21.9755; 0.115977; 102.9810
-46.4400; 0.0000; -22.1130; 0.113778; 101.5737
-46.2600; 0.0000; -22.2508; 0.111619; 100.1234
-46.0800; 0.0000; -22.3887; 0.109503; 98.6288
-45.9000; 0.0000; -22.5262; 0.107432; 97.0884
-45.7200; 0.0000; -22.6631; 0.105412; 95.5009
-45.5400; 0.0000; -22.7988; 0.103444; 93.8653
-45.3600; 0.0000; -22.9330; 0.101534; 92.1804
-45.1800; 0.0000; -23.0651; 0.099685; 90.4456
-45.0000; 0.0000; -23.1947; 0.097900; 88.6602
-44.8200; 0.0000; -23.3211; 0.096184; 86.8238
-44.6400; 0.0000; -23.4437; 0.094540; 84.9364
-44.4600; 0.0000; -23.5620; 0.092973; 82.9985
-44.2800; 0.0000; -23.6753; 0.091487; 81.0106
-44.1000; 0.0000; -23.7829; 0.090085; 78.9741
-43.9200; 0.0000; -23.8841; 0.088772; 76.8905
-43.7400; 0.0000; -23.9783; 0.087550; 74.7620
-43.5600; 0.0000; -24.0648; 0.086423; 72.5914
-43.3800; 0.0000; -24.1430; 0.085394; 70.3819
-43.2000; 0.0000; -24.2121; 0.084467; 68.1373
-43.0200; 0.0000; -24.2718; 0.083642; 65.8620
-42.8400; 0.0000; -24.3213; 0.082923; 63.5608
-42.6600; 0.0000; -24.3605; 0.082312; 61.2390
-42.4800; 0.0000; -24.3887; 0.081807; 58.9024
-42.3000; 0.0000; -24.4059; 0.081412; 56.5568
-42.1200; 0.0000; -24.4119; 0.081125; 54.2085
-41.9400; 0.0000; -24.4066; 0.080945; 51.8639
-41.7600; 0.0000; -24.3900; 0.080872; 49.5293
-41.5800; 0.0000; -24.3623; 0.080903; 47.2109
-41.4000; 0.0000; -24.3238; 0.081037; 44.9148
-41.2200; 0.0000; -24.2749; 0.081270; 42.6468
-41.0400; 0.0000; -24.2159; 0.081599; 40.4121
